City,State,2012_estimate
New York,New York,8336697
Los Angeles,California,3857799
Chicago,Illinois,2714856
Houston,Texas,2160821
Philadelphia,Pennsylvania,1547607
Phoenix,Arizona,1488750
San Antonio,Texas,1382951
San Diego,California,1338348
Dallas,Texas,1241162
San Jose,California,982765
Austin,Texas,842592
Jacksonville,Florida,836507
Indianapolis,Indiana,834852
San Francisco,California,825863
Columbus,Ohio,809798
Fort Worth,Texas,777992
Charlotte,North Carolina,775202
Detroit,Michigan,701475
El Paso,Texas,672538
Memphis,Tennessee,655155
Boston,Massachusetts,636479
Seattle,Washington,634535
Denver,Colorado,634265
Washington,District of Columbia,632323
Nashville,Tennessee,624496
Baltimore,Maryland,621342
Louisville,Kentucky,605110
Portland,Oregon,603106
Oklahoma City,Oklahoma,599199
Milwaukee,Wisconsin,598916
Las Vegas,Nevada,596424
Albuquerque,New Mexico,555417
Tucson,Arizona,524295
Fresno,California,505882
Sacramento,California,475516
Long Beach,California,467892
Kansas City,Missouri,464310
Mesa,Arizona,452084
Virginia Beach,Virginia,447021
Atlanta,Georgia,443775
Colorado Springs,Colorado,431834
Raleigh,North Carolina,423179
Omaha,Nebraska,421570
Miami,Florida,413892
Oakland,California,400740
Tulsa,Oklahoma,393987
Minneapolis,Minnesota,392880
Cleveland,Ohio,390928
Wichita,Kansas,385577
Arlington,Texas,375600
New Orleans,Louisiana,369250
Bakersfield,California,358597
Tampa,Florida,347645
Honolulu,Hawai'i,345610
Anaheim,California,343248
Aurora,Colorado,339030
Santa Ana,California,330920
St. Louis,Missouri,318172
Riverside,California,313673
Corpus Christi,Texas,312195
Pittsburgh,Pennsylvania,306211
Lexington,Kentucky,305489
Anchorage,Alaska,298610
Stockton,California,297984
Cincinnati,Ohio,296550
Saint Paul,Minnesota,290770
Toledo,Ohio,284012
Newark,New Jersey,277727
Greensboro,North Carolina,277080
Plano,Texas,272068
Henderson,Nevada,265679
Lincoln,Nebraska,265404
Buffalo,New York,259384
Fort Wayne,Indiana,254555
Jersey City,New Jersey,254441
Chula Vista,California,252422
Orlando,Florida,249562
St. Petersburg,Florida,246541
Norfolk,Virginia,245782
Chandler,Arizona,245628
Laredo,Texas,244731
Madison,Wisconsin,240323
Durham,North Carolina,239358
Lubbock,Texas,236065
Winston–Salem,North Carolina,234349
Garland,Texas,233564
Glendale,Arizona,232143
Hialeah,Florida,231941
Reno,Nevada,231027
Baton Rouge,Louisiana,230058
Irvine,California,229985
Chesapeake,Virginia,228417
Irving,Texas,225427
Scottsdale,Arizona,223514
North Las Vegas,Nevada,223491
Fremont,California,221986
Gilbert,Arizona,221140
San Bernardino,California,213295
Boise,Idaho,212303
Birmingham,Alabama,212038
Rochester,New York,210532
Richmond,Virginia,210309
