"SCORE","GUESS","TRUTH","TEXT"
"0.9812171179650474","n","n","""Family show"" they said. ""Happy endings"" they said. ""Based on Disney characters"" they said. Fandom will be the craziest - they did NOT say."
"0.8620157207672305","n","p","At Disney World for the 1st time with our kids. Peter Pan’s Flight, their 1st ride ever. They loved it. I just sat there crying."
"0.8446068186305464","n","n","@drunkasluke the disney show the one with the pontie head kid and the one with the green hair!"
"0.7967970506263672","n","p","Get a good idea and stay with it. Dog it, and work at it until it's done right. -Walt Disney ##InspirationalTweet"
"0.7754888166976124","n","n","Kids these days didn't grow up with Disney like we did. How would they know about this magical land?"
"0.7682952067221264","n","o","""I always like to look on the optimistic side of life, but I am realistic enough to know that life is a complex matter"" - Walt Disney"
"0.7561606726146756","n","n","Call me when Disney releases ""Gaston,"" the tale of a man who loved a beast that didn't love him back, and the steps he took to get revenge."
"0.7347686761621642","n","n","Aaaand just when Disney almost breaks the mold with #Frozen, Once Upon a Time reclaims Elsa and Ana and makes it all about a wedding. #sigh"
"0.7241339322686542","n","p","does anyone else remember the show ""jonas l.a."" on disney channel bc that show was my shit."
"0.6947640004373762","n","n","Did Disney really think we wouldn't realize they changed the girl that played marney"
"0.6884140804906096","n","p","So I'm like really really excited for the possibility of doing the Disney College Program."
"0.6762779880563502","n","p","Disney sure does know how put on a good show. Is it weird that I was a little moved during the Let It Go sequence of Frozen on Ice? #fb"
"0.675205172855428","n","n","@MSCarpaccio Not sure that's the primary issue. I'd say Down Syndrome Disney Princesses are about as necessary as all Disney Princesses…"
"0.6748867585362608","n","n","Every disney movie has a bad person in it, and in reality , we have A God & we have the Devil. Think about that."
"0.6589328169164275","n","n","@THEJoeDub @ThtBreakDownTho Is ""Nolan"" a bigger name than ""Disney"" or ""Marvel?"""
"0.6504322636667133","n","p","#QuoteoftheDay ""The more you like yourself, the less you are like anyone else, which makes you unique."" #quote Walt #Disney"
"0.6501218829345297","n","n","@iPatrick4 we missed it!! it was on Disney on the 8th. they should really play it more than once."
"0.6356610304304321","n","p","@twhiddleston I'm watching The Pirate Fairy on the Disney Channel.  You sound  pretty good, Tom. Great singing. My niece Allison loves it. ♥"
"0.6353175314853112","n","p","Hilary Duff and Ashley Tisdale are a couple of Disney stars that did life the right way"
"0.6305352014861993","n","p","I found Fantasia 2000 to be better than the first (although that was still great). The New York sequence was beautiful. #disney"
